PF00096 | CL0361
PF00665 | CL0219
PF13637 | CL0465
PF00626 | CL0092
PF00248 | CL0036
PF01436 | CL0186
PF00179 | CL0208
PF00505 | CL0114
PF12874 | CL0361
PF07653 | CL0010
PF01833 | CL0159
PF00643 | CL0782
PF00481 | CL0238
PF01494 | CL0063
PF00201 | CL0113
PF01490 | CL0062
PF01061 | CL0181
PF00171 | CL0099
PF00550 | CL0314
PF00135 | CL0028
PF03732 | CL0523
PF07654 | CL0159
PF00373 | CL0632
PF00155 | CL0061
PF03372 | CL0530
PF00097 | CL0229
PF00498 | CL0357
PF00012 | CL0108
PF03144 | CL0105
PF00105 | CL0167
PF00583 | CL0257
PF01348 | CL0359
PF00385 | CL0010
PF00002 | CL0192
PF20684 | CL0192
PF17919 | CL0219
PF00134 | CL0065
PF13520 | CL0062
PF03171 | CL0029
PF07707 | CL0033
PF00016 | CL0036
PF00632 | CL0552
PF07992 | CL0063
PF17917 | CL0219
PF20431 | CL0020
PF01363 | CL0229
PF12854 | CL0020
PF11951 | CL0507
PF13193 | CL0531
PF07885 | CL0030
PF01926 | CL0023
PF00022 | CL0108
PF05729 | CL0023
PF01565 | CL0077
PF00170 | CL0018
PF00211 | CL0276
PF13445 | CL0229
PF00160 | CL0475
PF07647 | CL0003
PF00035 | CL0196
PF01554 | CL0222
PF01607 | CL0155
PF07859 | CL0028
PF00782 | CL0031
PF14226 | CL0029
PF00847 | CL0081
PF00403 | CL0704
PF00094 | CL0741
PF01370 | CL0063
PF13812 | CL0020
PF13086 | CL0023
PF00112 | CL0125
PF13456 | CL0219
PF07648 | CL0005
PF00227 | CL0052
PF00625 | CL0023
PF00324 | CL0062
PF00515 | CL0020
PF00093 | CL0451
PF00629 | CL0004
PF00615 | CL0272
PF00026 | CL0129
PF12947 | CL0001
PF13202 | CL0220
PF00637 | CL0020
PF00293 | CL0261
PF00454 | CL0016
PF00350 | CL0023
PF00146 | CL0425
PF00300 | CL0071
PF00116 | CL0026
PF01399 | CL0123
PF00047 | CL0159
PF00129 | CL0343
PF13765 | CL0004
PF00650 | CL0512
PF00335 | CL0347
PF00432 | CL0059
PF02214 | CL0033
PF01477 | CL0321
PF12662 | CL0001
PF00254 | CL0487
PF01753 | CL0175
PF01593 | CL0063
PF01266 | CL0063
PF07732 | CL0026
PF00450 | CL0028
PF01437 | CL0630
PF00125 | CL0012
PF00754 | CL0202
PF02518 | CL0025
PF00250 | CL0123
PF00641 | CL0167
PF00657 | CL0264
PF00743 | CL0063
PF00060 | CL0030
PF00091 | CL0063
PF00025 | CL0023
PF00567 | CL0010
PF19055 | CL0181
PF00999 | CL0064
PF00581 | CL0031
PF00209 | CL0062
PF00003 | CL0192
PF02786 | CL0179
PF00141 | CL0617
PF09380 | CL0266
PF00685 | CL0023
PF00320 | CL0167
PF00732 | CL0063
PF00892 | CL0184
PF03160 | CL0159
PF00704 | CL0036
PF02412 | CL0689
PF13087 | CL0023
PF01602 | CL0020
PF00899 | CL0063
PF07699 | CL0001
PF02798 | CL0172
PF00788 | CL0072
PF01826 | CL0819
PF00072 | CL0304
PF05199 | CL0063
PF00854 | CL0015
PF09379 | CL0072
PF00233 | CL0237
PF00531 | CL0041
PF01839 | CL0186
PF01582 | CL0173
PF02373 | CL0029
PF02893 | CL0266
PF00640 | CL0266
PF07731 | CL0026
PF01553 | CL0228
PF12799 | CL0022
PF02362 | CL0405
PF00569 | CL0229
PF12697 | CL0028
PF08241 | CL0063
PF00030 | CL0333
PF01421 | CL0126
PF01403 | CL0186
PF07717 | CL0021
PF00175 | CL0091
PF02902 | CL0125
PF00246 | CL0105
PF00668 | CL0149
PF07974 | CL0001
PF13517 | CL0186
PF01585 | CL0449
PF01423 | CL0010
PF00006 | CL0023
PF00147 | CL0422
PF01485 | CL0229
PF00230 | CL0716
PF16212 | CL0137
PF00855 | CL0010
PF00533 | CL0459
PF03810 | CL0020
PF00043 | CL0497
PF04564 | CL0229
PF00188 | CL0659
PF00378 | CL0127
PF13359 | CL0219
PF02535 | CL0184
PF01657 | CL0812
PF08205 | CL0159
PF02820 | CL0010
PF05368 | CL0063
PF00989 | CL0183
PF01825 | CL0661
PF01239 | CL0020
PF12763 | CL0220
PF10551 | CL0219
PF00627 | CL0214
PF07728 | CL0023
PF00610 | CL0123
PF00364 | CL0105
PF10613 | CL0177
PF00955 | CL0062
PF04408 | CL0123
PF01764 | CL0028
PF01302 | CL0010
PF12698 | CL0181
PF00109 | CL0046
PF00394 | CL0026
PF04193 | CL0141
PF03953 | CL0442
PF00326 | CL0028
PF00011 | CL0190
PF00117 | CL0014
PF00232 | CL0036
PF02874 | CL0105
PF00328 | CL0071
PF00535 | CL0110
PF01476 | CL0187
PF01852 | CL0209
PF00291 | CL0063
PF01590 | CL0161
PF00616 | CL0409
PF02854 | CL0020
PF00388 | CL0036
PF00618 | CL0542
PF00441 | CL0087
PF00282 | CL0061
PF13358 | CL0219
PF03106 | CL0274
PF01734 | CL0323
PF12894 | CL0186
PF02801 | CL0046
PF01433 | CL0126
PF00656 | CL0093
PF00575 | CL0021
PF01979 | CL0036
PF00780 | CL0186
PF05920 | CL0123
PF01846 | CL0584
PF05193 | CL0094
PF02141 | CL0330
PF01426 | CL0010
PF00850 | CL0302
PF00564 | CL0072
PF02984 | CL0065
PF08266 | CL0159
PF00781 | CL0240
PF00051 | CL0602
PF03151 | CL0184
PF00133 | CL0039
PF02225 | CL0364
PF02771 | CL0544
PF01794 | CL0328
PF17820 | CL0466
PF00969 | CL0343
PF00735 | CL0023
PF00916 | CL0062
PF00611 | CL0145
PF00295 | CL0268
PF00487 | CL0713
PF22486 | CL0389
PF00648 | CL0125
PF01569 | CL0525
PF01145 | CL0433
PF00884 | CL0088
PF01636 | CL0016
PF03107 | CL0229
PF01453 | CL0186
PF10294 | CL0063
PF00024 | CL0168
PF13426 | CL0183
PF00462 | CL0172
PF04389 | CL0105
PF00386 | CL0100
PF00791 | CL0661
PF13833 | CL0220
PF03184 | CL0219
PF00493 | CL0023
PF00644 | CL0084
PF00675 | CL0094
PF01388 | CL0123
PF01501 | CL0110
PF17900 | CL0672
PF00020 | CL0607
PF14432 | CL0109
PF00266 | CL0061
PF18720 | CL0001
PF03031 | CL0137
PF00652 | CL0066
PF00534 | CL0113
PF01398 | CL0366
PF00128 | CL0036
PF04548 | CL0023
PF00387 | CL0036
PF00100 | CL0159
PF00698 | CL0323
PF00190 | CL0029
PF08030 | CL0091
PF01762 | CL0110
PF01055 | CL0036
PF04969 | CL0190
PF17207 | CL0021
PF02037 | CL0306
PF00019 | CL0079
PF01546 | CL0105
PF01504 | CL0016
PF02985 | CL0020
PF03114 | CL0145
PF00054 | CL0004
PF03456 | CL0431
PF13837 | CL0123
PF08022 | CL0105
PF00562 | CL0410
PF07993 | CL0063
PF00888 | CL0020
PF01284 | CL0396
PF14111 | CL0196
PF00474 | CL0062
PF06602 | CL0031
PF01400 | CL0126
PF01217 | CL0431
PF00180 | CL0270
PF00178 | CL0123
PF00503 | CL0023
PF03098 | CL0617
PF00587 | CL0040
PF12906 | CL0229
PF13640 | CL0029
PF12774 | CL0023
PF00753 | CL0381
PF00933 | CL0036
PF02779 | CL0254
PF02171 | CL0219
PF01532 | CL0059
PF07525 | CL0642
PF00891 | CL0063
PF00039 | CL0451
PF00202 | CL0061
PF07562 | CL0607
PF00152 | CL0040
PF04055 | CL0036
PF03129 | CL0458
PF03109 | CL0016
PF03357 | CL0235
PF00512 | CL0025
PF02949 | CL0176
PF13649 | CL0063
PF00075 | CL0219
PF17855 | CL0671
PF02148 | CL0229
PF02170 | CL0010
PF00413 | CL0126
PF02736 | CL0010
PF00389 | CL0063
PF00822 | CL0375
PF01030 | CL0022
PF03133 | CL0179
PF01095 | CL0268
PF12146 | CL0028
PF00150 | CL0036
PF00929 | CL0219
PF04116 | CL0713
PF05922 | CL0570
PF12780 | CL0023
PF13843 | CL0219
PF00722 | CL0004
PF14543 | CL0129
PF00789 | CL0072
PF12781 | CL0023
PF02847 | CL0020
PF01498 | CL0123
PF02460 | CL0322
PF00294 | CL0118
PF00447 | CL0123
PF02338 | CL0125
PF14541 | CL0129
PF02463 | CL0023
PF01039 | CL0127
PF08031 | CL0277
PF17779 | CL0123
PF00679 | CL0437
PF00241 | CL0092
PF00653 | CL0417
PF21365 | CL0369
PF01549 | CL0213
PF00339 | CL0135
PF18198 | CL0671
PF03478 | CL0186
PF03028 | CL0023
PF01138 | CL0329
PF04547 | CL0416
PF01663 | CL0088
PF00264 | CL0205
PF01740 | CL0502
PF01336 | CL0021
PF01479 | CL0492
PF01694 | CL0207
PF16746 | CL0145
PF02146 | CL0063
PF05970 | CL0023
PF00258 | CL0042
PF02668 | CL0029
PF02752 | CL0135
PF03062 | CL0517
PF03765 | CL0214
PF19028 | CL0692
PF13716 | CL0512
PF00040 | CL0602
PF01467 | CL0039
PF01408 | CL0063
PF19236 | CL0750
PF00790 | CL0020
PF00332 | CL0036
PF00337 | CL0004
PF06467 | CL0175
PF13306 | CL0022
PF01392 | CL0644
PF01248 | CL0101
PF00619 | CL0041
PF03221 | CL0123
PF00903 | CL0104
PF11838 | CL0159
PF14429 | CL0154
PF13409 | CL0172
PF02825 | CL0783
PF00365 | CL0240
PF01365 | CL0020
PF00928 | CL0448
PF13460 | CL0063
PF00108 | CL0046
PF08276 | CL0168
PF08264 | CL0258
PF00488 | CL0023
PF00056 | CL0063
PF00193 | CL0056
PF07565 | CL0340
PF02494 | CL0159
PF02809 | CL0702
PF03727 | CL0108
PF05773 | CL0208
PF07651 | CL0020
PF00808 | CL0012
PF01661 | CL0223
PF13831 | CL0229
PF04818 | CL0020
PF06371 | CL0020
PF00636 | CL0539
PF02815 | CL0066
PF00755 | CL0149
PF06920 | CL0020
PF00667 | CL0105
PF00349 | CL0108
PF02383 | CL0031
PF07716 | CL0018
PF00957 | CL0445
PF12171 | CL0361
PF01067 | CL0202
PF03061 | CL0050
PF20421 | CL0020
PF14529 | CL0530
PF13621 | CL0029
PF00609 | CL0701
PF01612 | CL0219
PF01105 | CL0521
PF02866 | CL0341
PF08659 | CL0063
PF01189 | CL0063
PF00042 | CL0090
PF06292 | CL0020
PF03083 | CL0141
PF01048 | CL0408
PF02485 | CL0110
PF00878 | CL0226
PF13839 | CL0264
PF21041 | CL0020
PF01428 | CL0229
PF02800 | CL0139
PF01431 | CL0126
PF07719 | CL0020
PF04811 | CL0128
PF17771 | CL0750
PF05843 | CL0020
PF00144 | CL0013
PF00801 | CL0159
PF14497 | CL0497
PF10250 | CL0113
PF00055 | CL0202
PF00318 | CL0067
PF13857 | CL0465
PF00048 | CL0730
PF10584 | CL0052
PF00676 | CL0254
PF08516 | CL0750
PF00348 | CL0613
PF00313 | CL0021
PF02892 | CL0361
PF02714 | CL0416
PF03514 | CL0063
PF14310 | CL0159
PF00036 | CL0220
PF00638 | CL0266
PF03552 | CL0110
PF00151 | CL0028
PF13631 | CL0328
PF14703 | CL0221
PF00538 | CL0123
PF17766 | CL0159
PF00061 | CL0116
PF03446 | CL0063
PF02787 | CL0123
PF03009 | CL0036
PF02883 | CL0159
PF00724 | CL0036
PF16489 | CL0661
PF02204 | CL0785
PF02785 | CL0105
PF05383 | CL0123
PF03006 | CL0192
PF01301 | CL0036
PF00907 | CL0073
PF08447 | CL0183
PF20805 | CL0159
PF00289 | CL0063
PF06839 | CL0167
PF13532 | CL0029
PF01150 | CL0108
PF05721 | CL0029
PF00145 | CL0063
PF17667 | CL0016
PF12738 | CL0459
PF08389 | CL0020
PF00050 | CL0005
PF00565 | CL0010
PF00688 | CL0055
PF14492 | CL0437
PF12872 | CL0123
PF05653 | CL0184
PF04130 | CL0540
PF07678 | CL0059
PF03101 | CL0274
PF01394 | CL0186
PF00970 | CL0105
PF02375 | CL0029
PF12819 | CL0202
PF07002 | CL0128
PF00355 | CL0516
PF05424 | CL0195
PF01434 | CL0126
PF02828 | CL0614
PF00613 | CL0020
PF07724 | CL0023
PF00895 | CL0255
PF00582 | CL0039
PF02845 | CL0214
PF01429 | CL0081
PF02803 | CL0046
PF01471 | CL0244
PF02309 | CL0072
PF12348 | CL0020
PF12624 | CL0760
PF06367 | CL0020
PF01841 | CL0125
PF01207 | CL0036
PF01851 | CL0020
PF01843 | CL0020
PF00052 | CL0202
PF04433 | CL0123
PF02878 | CL0754
PF04427 | CL0458
PF00163 | CL0492
PF13802 | CL0103
PF01823 | CL0293
PF02191 | CL0186
PF03607 | CL0072
PF10557 | CL0123
PF00867 | CL0464
PF01070 | CL0036
PF08441 | CL0159
PF02023 | CL0148
PF13417 | CL0172
PF03330 | CL0199
PF02319 | CL0123
PF17681 | CL0540
PF01404 | CL0202
PF03137 | CL0015
PF08242 | CL0063
PF12783 | CL0020
PF00734 | CL0083
PF02298 | CL0026
PF00635 | CL0159
PF18044 | CL0537
PF00370 | CL0108
PF00288 | CL0329
PF02020 | CL0020
PF00752 | CL0280
PF04857 | CL0219
PF05347 | CL0491
PF00383 | CL0109
PF21089 | CL0050
PF16486 | CL0791
PF00860 | CL0062
PF00382 | CL0065
PF00111 | CL0486
PF00029 | CL0375
PF00579 | CL0039
PF14765 | CL0050
PF03567 | CL0023
PF08423 | CL0023
PF07776 | CL0361
PF13847 | CL0063
PF21471 | CL0202
PF01728 | CL0063
PF00156 | CL0533
PF05577 | CL0028
PF16197 | CL0046
PF16363 | CL0063
PF00207 | CL0159
PF00139 | CL0004
PF00198 | CL0149
PF03055 | CL0186
PF12776 | CL0123
PF00459 | CL0171
PF13634 | CL0647
PF03188 | CL0328
PF00483 | CL0110
PF01008 | CL0063
PF07703 | CL0159
PF13405 | CL0220
PF01193 | CL0509
PF10545 | CL0123
PF03104 | CL0219
PF01053 | CL0061
PF00549 | CL0506
PF00804 | CL0445
PF01129 | CL0084
PF01591 | CL0023
PF17857 | CL0671
PF00614 | CL0479
PF01544 | CL0788
PF03936 | CL0613
PF00930 | CL0186
PF02259 | CL0020
PF00927 | CL0159
PF00578 | CL0172
PF01738 | CL0028
PF02775 | CL0254
PF07738 | CL0202
PF07677 | CL0159
PF16450 | CL0021
PF09336 | CL0671
PF02782 | CL0108
PF03165 | CL0263
PF04142 | CL0184
PF00887 | CL0632
PF08763 | CL0220
PF03564 | CL0523
PF01759 | CL0353
PF02852 | CL0608
PF02776 | CL0254
PF14295 | CL0168
PF01040 | CL0613
PF07973 | CL0094
PF13472 | CL0264
PF00167 | CL0066
PF00262 | CL0004
PF05057 | CL0028
PF01419 | CL0568
PF00568 | CL0266
PF01397 | CL0059
PF06203 | CL0281
PF02174 | CL0266
PF16589 | CL0459
PF18139 | CL0349
PF00031 | CL0320
PF10409 | CL0154
PF02190 | CL0178
PF04212 | CL0745
PF02376 | CL0123
PF21467 | CL0202
PF00292 | CL0123
PF02434 | CL0110
PF01027 | CL0453
PF00136 | CL0194
PF13676 | CL0173
PF05795 | CL0411
PF20806 | CL0159
PF01410 | CL0422
PF16457 | CL0266
PF08016 | CL0030
PF01603 | CL0020
PF05033 | CL0809
PF00730 | CL0198
PF00485 | CL0023
PF14844 | CL0266
PF04616 | CL0143
PF13774 | CL0431
PF03764 | CL0329
PF04851 | CL0023
PF02453 | CL0484
PF13768 | CL0128
PF03619 | CL0192
PF15410 | CL0266
PF01068 | CL0179
PF05641 | CL0010
PF03443 | CL0159
PF00219 | CL0547
PF00725 | CL0106
PF00244 | CL0020
PF00252 | CL0021
PF13519 | CL0128
PF07177 | CL0004
PF00890 | CL0063
PF01042 | CL0534
PF08613 | CL0065
PF01432 | CL0126
PF00875 | CL0039
PF01074 | CL0158
PF03547 | CL0064
PF06422 | CL0181
PF03489 | CL0707
PF08513 | CL0561
PF03901 | CL0111
PF00749 | CL0039
PF03451 | CL0186
PF01557 | CL0377
PF22562 | CL0214
PF06017 | CL0266
PF10431 | CL0671
PF00849 | CL0649
PF00205 | CL0063
PF01522 | CL0158
PF17655 | CL0159
PF09279 | CL0220
PF04488 | CL0110
PF00682 | CL0036
PF17791 | CL0159
PF00694 | CL0364
PF21530 | CL0010
PF01853 | CL0257
PF05686 | CL0113
PF01459 | CL0193
PF02263 | CL0023
PF04146 | CL0178
PF01417 | CL0020
PF00574 | CL0127
PF00314 | CL0293
PF08449 | CL0184
PF13344 | CL0137
PF03097 | CL0020
PF03947 | CL0010
PF12706 | CL0381
PF01757 | CL0316
PF00224 | CL0036
PF16910 | CL0760
PF00728 | CL0036
PF01480 | CL0805
PF00458 | CL0600
PF02737 | CL0063
PF00113 | CL0036
PF17177 | CL0020
PF02780 | CL0591
PF01751 | CL0413
PF08544 | CL0677
PF01044 | CL0705
PF01835 | CL0159
PF00261 | CL0452
PF06733 | CL0023
PF02136 | CL0051
PF03141 | CL0063
PF01007 | CL0030
PF01073 | CL0063
PF01965 | CL0014
PF14368 | CL0482
PF03168 | CL0159
PF07748 | CL0103
PF01413 | CL0056
PF01483 | CL0202
PF04828 | CL0080
PF03081 | CL0020
PF01652 | CL0625
PF02891 | CL0229
PF03572 | CL0127
PF18758 | CL0219
PF00467 | CL0010
PF17902 | CL0010
PF00157 | CL0123
PF00852 | CL0113
PF22628 | CL0537
PF10433 | CL0186
PF00217 | CL0286
PF03178 | CL0186
PF03351 | CL0559
PF02824 | CL0072
PF02133 | CL0062
PF08487 | CL0029
PF00181 | CL0021
PF01704 | CL0110
PF00044 | CL0063
PF02358 | CL0137
PF01357 | CL0159
PF16213 | CL0020
PF13176 | CL0020
PF00352 | CL0407
PF02913 | CL0277
PF01179 | CL0103
PF02230 | CL0028
PF09261 | CL0599
PF12349 | CL0322
PF03949 | CL0063
PF00472 | CL0337
PF18759 | CL0219
PF01088 | CL0125
PF13091 | CL0479
PF02544 | CL0115
PF16016 | CL0209
PF00554 | CL0073
PF01842 | CL0070
PF13307 | CL0023
PF02149 | CL0573
PF01416 | CL0649
PF01380 | CL0067
PF03493 | CL0582
PF13302 | CL0257
PF17035 | CL0665
PF10358 | CL0154
PF03770 | CL0016
PF00792 | CL0154
PF22705 | CL0159
PF00120 | CL0286
PF14833 | CL0106
PF21032 | CL0186
PF13191 | CL0023
PF03982 | CL0228
PF00390 | CL0603
PF16179 | CL0159
PF06472 | CL0241
PF17772 | CL0361
PF09334 | CL0039
PF00757 | CL0547
PF00088 | CL0630
PF01263 | CL0103
PF04909 | CL0036
PF00354 | CL0004
PF01096 | CL0167
PF15902 | CL0186
PF01733 | CL0015
PF00982 | CL0113
PF00876 | CL0375
PF10609 | CL0023
PF04500 | CL0274
PF00544 | CL0268
PF13906 | CL0062
PF16499 | CL0036
PF01223 | CL0263
PF00362 | CL0128
PF01534 | CL0192
PF01920 | CL0200
PF07734 | CL0186
PF04258 | CL0130
PF09069 | CL0220
PF02198 | CL0003
PF00723 | CL0059
PF00132 | CL0536
PF05225 | CL0123
PF17838 | CL0266
PF03807 | CL0063
PF04535 | CL0396
PF01735 | CL0323
PF04438 | CL0175
PF16177 | CL0378
PF00255 | CL0172
PF08709 | CL0066
PF00411 | CL0267
PF01578 | CL0328
PF02992 | CL0219
PF02176 | CL0361
PF01167 | CL0395
PF12714 | CL0451
PF05184 | CL0707
PF08953 | CL0186
PF02709 | CL0110
PF00733 | CL0039
PF01112 | CL0052
PF10502 | CL0299
PF00996 | CL0063
PF03638 | CL0809
PF00759 | CL0059
PF09068 | CL0220
PF01119 | CL0329
PF00805 | CL0505
PF01395 | CL0803
PF08454 | CL0020
PF04042 | CL0163
PF08646 | CL0021
PF09325 | CL0145
PF16561 | CL0369
PF02257 | CL0123
PF00021 | CL0117
PF01409 | CL0040
PF16186 | CL0020
PF07701 | CL0161
PF00962 | CL0036
PF01026 | CL0036
PF01566 | CL0062
PF16656 | CL0159
PF10277 | CL0412
PF03029 | CL0023
PF00941 | CL0077
PF03959 | CL0028
PF00312 | CL0600
PF21865 | CL0705
PF01411 | CL0040
PF03815 | CL0513
PF02705 | CL0062
PF03914 | CL0020
PF01571 | CL0289
PF06565 | CL0266
PF08332 | CL0051
PF02492 | CL0023
PF01756 | CL0087
PF19326 | CL0036
PF02816 | CL0016
PF05978 | CL0015
PF13793 | CL0533
PF10996 | CL0023
PF03931 | CL0033
PF00988 | CL0364
PF13905 | CL0172
PF00405 | CL0177
PF03952 | CL0227
PF03018 | CL0650
PF05761 | CL0137
PF02213 | CL0673
PF04053 | CL0186
PF03634 | CL0123
PF12202 | CL0487
PF17867 | CL0671
PF00343 | CL0113
PF17907 | CL0809
PF01749 | CL0020
PF03089 | CL0186
PF01230 | CL0265
PF12770 | CL0093
PF05903 | CL0125
PF08416 | CL0266
PF00297 | CL0105
PF04083 | CL0028
PF01347 | CL0020
PF03166 | CL0357
PF02882 | CL0063
PF20256 | CL0635
PF16884 | CL0296
PF01596 | CL0063
PF10426 | CL0361
PF02364 | CL0111
PF00939 | CL0182
PF00229 | CL0100
PF13393 | CL0040
PF02958 | CL0016
PF04893 | CL0112
PF08397 | CL0145
PF17906 | CL0123
PF03108 | CL0274
PF07496 | CL0229
PF17789 | CL0159
PF14843 | CL0547
PF13632 | CL0110
PF14009 | CL0072
PF01064 | CL0117
PF00686 | CL0369
PF02738 | CL0635
PF00407 | CL0209
PF01084 | CL0123
PF03479 | CL0615
PF15787 | CL0020
PF03159 | CL0280
PF02880 | CL0754
PF07676 | CL0186
PF02879 | CL0754
PF00763 | CL0603
PF08395 | CL0176
PF03124 | CL0182
PF04679 | CL0021
PF16908 | CL0760
PF07744 | CL0616
PF00494 | CL0613
PF10523 | CL0123
PF00464 | CL0061
PF13229 | CL0268
PF14572 | CL0533
PF02137 | CL0109
PF11976 | CL0072
PF08542 | CL0604
PF00594 | CL0001
PF02244 | CL0570
PF03473 | CL0036
PF01608 | CL0705
PF00245 | CL0088
PF03131 | CL0018
PF12708 | CL0268
PF13733 | CL0110
PF13419 | CL0137
PF03435 | CL0063
PF03096 | CL0028
PF02732 | CL0236
PF01169 | CL0292
PF02450 | CL0028
PF03450 | CL0233
PF00701 | CL0036
PF13903 | CL0375
PF12848 | CL0023
PF16187 | CL0094
PF13873 | CL0123
PF18104 | CL0010
PF00588 | CL0098
PF02221 | CL0532
PF04707 | CL0209
PF06722 | CL0113
PF03226 | CL0080
PF13174 | CL0020
PF17960 | CL0159
PF00234 | CL0482
PF01144 | CL0063
PF16470 | CL0570
PF18346 | CL0010
PF02996 | CL0200
PF06955 | CL0004
PF02121 | CL0209
PF00448 | CL0023
PF00659 | CL0708
PF12396 | CL0395
PF01799 | CL0486
PF00251 | CL0143
PF01222 | CL0115
PF00360 | CL0161
PF04051 | CL0210
PF11721 | CL0202
PF00164 | CL0021
PF08726 | CL0220
PF03822 | CL0573
PF08268 | CL0186
PF02784 | CL0036
PF03399 | CL0123
PF11835 | CL0221
PF08662 | CL0186
PF05605 | CL0361
PF04153 | CL0010
PF13638 | CL0280
PF01108 | CL0159
PF21896 | CL0705
PF09011 | CL0114
PF00007 | CL0079
PF05221 | CL0063
PF06814 | CL0192
PF14215 | CL0161
PF04970 | CL0125
PF02036 | CL0311
PF00121 | CL0036
PF01182 | CL0063
PF12756 | CL0361
PF08100 | CL0123
PF01058 | CL0304
PF14392 | CL0511
PF00868 | CL0159
PF10373 | CL0020
PF21020 | CL0743
PF06462 | CL0186
PF12265 | CL0186
PF08450 | CL0186
PF00570 | CL0426
PF02301 | CL0651
PF06701 | CL0010
PF09286 | CL0570
PF00491 | CL0302
PF02822 | CL0620
PF01156 | CL0727
PF08323 | CL0113
PF21355 | CL0389
PF01023 | CL0220
PF03663 | CL0059
PF00703 | CL0159
PF01513 | CL0240
PF08512 | CL0266
PF04103 | CL0347
PF02826 | CL0063
PF17849 | CL0021
PF03407 | CL0110
PF01575 | CL0050
PF00975 | CL0028
PF04950 | CL0105
PF01650 | CL0093
PF16661 | CL0381
PF01697 | CL0110
PF09294 | CL0159
PF02806 | CL0369
PF08442 | CL0179
PF20519 | CL0030
PF00333 | CL0196
PF03416 | CL0125
PF07521 | CL0398
PF03950 | CL0733
PF20700 | CL0219
PF00478 | CL0036
PF16870 | CL0591
PF10300 | CL0020
PF17047 | CL0648
PF11717 | CL0010
PF13885 | CL0520
PF02318 | CL0229
PF03155 | CL0111
PF03492 | CL0063
PF01435 | CL0126
PF02182 | CL0178
PF11971 | CL0188
PF03370 | CL0576
PF11754 | CL0159
PF02196 | CL0072
PF00341 | CL0079
PF00208 | CL0063
PF05679 | CL0110
PF01472 | CL0178
PF08235 | CL0137
PF10591 | CL0220
PF03256 | CL0202
PF18373 | CL0743
PF01758 | CL0064
PF07883 | CL0029
PF13844 | CL0113
PF14244 | CL0523
PF00342 | CL0067
PF17171 | CL0497
PF02758 | CL0041
PF00210 | CL0044
PF03366 | CL0154
PF19047 | CL0188
PF00605 | CL0123
PF01465 | CL0810
PF05362 | CL0329
PF06747 | CL0351
PF06441 | CL0028
PF18086 | CL0063
PF08214 | CL0257
PF20750 | CL0260
PF03719 | CL0329
PF00840 | CL0004
PF09258 | CL0110
PF20426 | CL0186
PF07766 | CL0306
PF08506 | CL0020
PF02864 | CL0073
PF21354 | CL0220
PF10075 | CL0123
PF03033 | CL0113
PF02574 | CL0036
PF02886 | CL0648
PF03556 | CL0220
PF08392 | CL0046
PF14299 | CL0004
PF20974 | CL0733
PF00068 | CL0629
PF02841 | CL0023
PF05195 | CL0356
PF08669 | CL0740
PF00814 | CL0108
PF14634 | CL0229
PF13360 | CL0186
PF03143 | CL0740
PF01028 | CL0382
PF02366 | CL0111
PF02114 | CL0172
PF08473 | CL0165
